*plausible-----------------a| apparently reasonable and valid  
*post----------------------v| affix in a public place or for public notice; "post a warning"  
*post----------------------v| assign to a post; put into a post; "The newspaper posted him in Timbuktu"  
*post----------------------v| display, as of records in sports games  
*post----------------------v| enter on a public list  
*post----------------------v| mark or expose as infamous; "She was branded a loose woman"  
*post----------------------v| publicize with, or as if with, a poster; "I'll post the news on the bulletin board"  
*post----------------------v| put up; "post a sign"; "post a warning at the dump"  
*post----------------------v| ride Western style and bob up and down in the saddle in in rhythm with a horse's trotting gait  
*post----------------------v| transfer (entries) from one account book to another  
*post-free-----------------r| having the postage paid by the sender; "I will send it post-paid"  
*post-free-----------------s| postpaid  
*post-haste----------------r| as fast as possible; with all possible haste; "send it to me post-haste"  
*post_meridiem-------------r| between noon and midnight; "let's meet at 8 P.M."  
*post_meridiem-------------s| after noon  
*postal--------------------a| of or relating to the system for delivering mail; "postal delivery"  
*postdate------------------v| be later in time; "Tuesday always follows Monday"  
*postdate------------------v| establish something as being later relative to something else  
*posted--------------------a| publicly announced; "the posted speed limit"  
*posterior-----------------a| at or near the hind end in quadrupeds or toward the spine in primates  
*postexilic----------------a| of or relating to the period in Jewish history after 539 BC (after the Babylonian Captivity)  
*postganglionic------------a| beyond or distal to a ganglion (referring especially to the unmyelinated fibers that originate from cells in autonomic ganglia)  
*posthumous----------------s| occurring or coming into existence after a person's death; "a posthumous award"; "a posthumous book"; "a posthumous daughter"  
*posthumously--------------r| after death; "these piano pieces were published posthumously"; "he was honored posthumously"  
*postictal-----------------a| pertaining to the period following a seizure or convulsion; "postictal drowsiness"  
*postindustrial------------s| of or relating to a society  or economy marked by a lessened importance of manufacturing and an increase of services, information, and research; "postindustrial countries"  
*postmark------------------v| stamp with a postmark to indicate date and time of mailing  
*postmenopausal------------a| subsequent to menopause  
*postmeridian--------------a| after noon  
*postmillennial------------a| relating to or coming after the millennium  
*postmodernist-------------a| of or relating to postmodernism; "postmodernist architecture"  
*postmortem----------------a| occurring or done after death; "postmortem changes"; "a postmortem examination to determine cause of death"; "postmortal wounds"  
*postmortem----------------s| after death or after an event; "a postmortem examination to determine the cause of death"; "the postmortem discussion of the President's TV address"  
*postnatal-----------------a| occurring immediately after birth; "postnatal development"  
*postnuptial---------------a| relating to events after a marriage  
*postoperative-------------s| happening or done after a surgical operation; "postoperative complications"; "postoperative care"  
*postoperatively-----------r| after the operation; "remove postoperatively"  
*postpaid------------------s| used especially of mail; paid in advance  
*postpone------------------v| hold back to a later time; "let's postpone the exam"  
*postpose------------------v| place after another constituent in the sentence; "Japanese postposes the adpositions, whereas English preposes them"  
*postpositive--------------a| (of a modifier) placed after another word  
*postprandial--------------a| following a meal (especially dinner); "his postprandial cigar"; "took a postprandial walk"  
*postulate-----------------v| take as a given; assume as a postulate or axiom; "He posited three basic laws of nature"  
*postural------------------a| of or relating to or involving posture; "postural exercises"  
*postwar-------------------a| belonging to the period after a war; "postwar resettlement"; "postwar inflation"  
*pot-----------------------v| plant in a pot; "He potted the palm"  
*potable-------------------s| of alcoholic beverages that are suitable for drinking; "it's an impudent young wine but I think you will find it quite potable"  
*potbound------------------s| of a potted plant; grown too large for its container resulting in matting or tangling of the roots  
*potent--------------------a| (of a male) able to copulate  
*potent--------------------a| having a strong physiological or chemical effect; "a potent toxin"; "potent liquor"; "a potent cup of tea"  
*potent--------------------s| having or wielding force or authority; "providing the ground soldier with increasingly potent weapons"  
*potential-----------------a| existing in possibility; "a potential problem"; "possible uses of nuclear power"  
*potentiate----------------v| increase the effect of or act synergistically with (a drug or a physiological or biochemical phenomenon); "potentiate the drug"  
*potently------------------r| in a manner having a powerful influence; "Clytemnestra's ghost crying in the night for vengeance remained most potently in the audience's mind"  
*pother--------------------v| make upset or troubled  
*potted--------------------a| of plants; planted or grown in a pot; "potted geraniums"  
*potted--------------------s| (British informal) summarized or abridged; "a potted version of a novel"  
*potted--------------------s| preserved in a pot or can or jar; "potted meat"; "potted shrimp"  
*potter--------------------v| work lightly; "The old lady is pottering around in the garden"  
*potty---------------------s| (British informal) trivial; "potty little details"  
*potty-trained-------------s| (of children) trained to use the toilet  
*pouch---------------------v| put into a small bag  
*pouch---------------------v| send by special mail that goes through diplomatic channels  
*pouched-------------------a| having a pouch  
*poultice------------------v| dress by covering with a therapeutic substance  
*pounce--------------------v| move down on as if in an attack; "The raptor swooped down on its prey"; "The teacher swooped down upon the new students"  
*pound---------------------v| break down and crush by beating, as with a pestle; "pound the roots with a heavy flat stone"  
*pound---------------------v| partition off into compartments; "The locks pound the water of the canal"  
*pound---------------------v| shut up or confine in any enclosure or within any bounds or limits; "The prisoners are safely pounded"  
*pound-foolish-------------s| unwise in dealing with large sums  
*pour----------------------v| cause to run; "pour water over the floor"  
*pour----------------------v| flow in a spurt; "Water poured all over the floor"  
*pour----------------------v| move in large numbers; "people were pouring out of the theater"; "beggars pullulated in the plaza"  
*pour----------------------v| rain heavily; "Put on your rain coat-- it's pouring outside!"  
*pour----------------------v| supply in large amounts or quantities; "We poured money into the education of our children"  
*pour_out------------------v| express without restraint; "The woman poured out her frustrations as the judge listened"  
*pout----------------------v| make a sad face and thrust out one's lower lip; "mop and mow"; "The girl pouted"  
*poutingly-----------------r| with a pout or in a pouting manner  
*powder--------------------v| apply powder to; "She powdered her nose"; "The King wears a powdered wig"  
*powder-puff---------------s| used of competitive activities in which only women take part; "powder-puff baseball"; "a powder-puff football game"  
*powder_blue---------------s| moderate to pale blue or purplish blue  
*powdered------------------s| consisting of fine particles; "powdered cellulose"; "powdery snow"; "pulverized sugar is prepared from granulated sugar by grinding"  
*powderize-----------------v| become powder or dust; "When it was blown up, the building powderized"  
*powderize-----------------v| make into a powder by breaking up or cause to become dust; "pulverize the grains"  
*powdery-------------------s| as if dulled in color with a sprinkling of powder; "a powdery blue"  
*power---------------------v| supply the force or power for the functioning of; "The gasoline powers the engines"  
*power-assisted------------s| supplementing or replacing manual effort; "power-assisted steering"  
*power-dive----------------v| make a power dive; "The airplane power-dived"  
*power-driven--------------s| powered by a motor; "a power-driven hand tool"  
*powered-------------------a| (often used in combination) having or using or propelled by means of power or power of a specified kind; "powered flight"; "kerosine-powered jet engines"  
*powerful------------------a| having great power or force or potency or effect; "the most powerful government in western Europe"; "his powerful arms"; "a powerful bomb"; "the horse's powerful kick"; "powerful drugs"; "a powerful argument"  
*powerfully----------------r| in a powerful manner; "the federal government replaced the powerfully pro-settler Sir Godfrey Huggins with the even tougher and more determined ex-trade unionist"  
*powerless-----------------a| lacking power  
*powerlessly---------------r| in a powerless manner  
*powwow--------------------v| hold a powwow, talk, conference or meeting  
*practicably---------------r| in a practicable manner; so as to be feasible  
*practical-----------------a| concerned with actual use or practice; "he is a very practical person"; "the idea had no practical application"; "a practical knowledge of Japanese"; "woodworking is a practical art"  
*practical-----------------s| having or put to a practical purpose or use; "practical mathematics"; "practical applications of calculus"  
*practically---------------r| almost; "he was practically the only guest at the party"  
*practice------------------v| avail oneself to; "apply a principle"; "practice a religion"; "use care when going down the stairs"; "use your common sense"; "practice non-violent resistance"  
*practice------------------v| carry out or practice; as of jobs and professions; "practice law"  
*practiced-----------------s| skillful after much practice  
*practicing----------------s| actively engaged in a career or way of life; "a practicing physician"; "a practicing Catholic"  
*praetorian----------------a| of or relating to a Roman praetor; "praetorial powers"  
*praetorian----------------s| characteristic of Praetorian soldiers in respect to corruption or political venality; "a large praetorian bureaucracy filled with ambitious...and often sycophantic people makes work and makes trouble"- Arthur M.Schlesinger Jr.  
*pragmatic-----------------a| of or concerning the theory of pragmatism  
*pragmatically-------------r| in a realistic manner; "we want to build a democratic society, but we must act pragmatically"  
*praise--------------------v| express approval of; "The parents praised their children for their academic performance"  
*Prakritic-----------------a| of or relating to Prakrit  
*prance--------------------v| cause (a horse) to bound spring forward  
*prance--------------------v| ride a horse such that it springs and bounds forward  
*prance--------------------v| spring foward on the hind legs; "The young horse was prancing in the meadow"  
*prandial------------------a| of or relating to a meal  
*prang---------------------v| crash  
*prank---------------------v| dress or decorate showily or gaudily; "Roses were pranking the lawn"  
*prank---------------------v| dress up showily; "He pranked himself out in his best clothes"  
*prawn---------------------v| fish for prawns  
*pray----------------------v| address God; say a prayer  
*prayerful-----------------s| disposed to pray or appearing to pray  
*pre-Columbian-------------a| of or relating to or originating in the Americas before the arrival of Columbus  
*pre-eminently-------------r| to a preeminent degree; with superiority or distinction above others; in a preeminent manner; "a wide variety of pre-eminently contemporary scenes"  
*Pre-Raphaelite------------a| of or relating to or characteristic of the pre-Raphaelites; "the Pre-Raphaelite painters"  
*preach--------------------v| deliver a sermon; "The minister is not preaching this Sunday"  
*preach--------------------v| speak, plead, or argue in favour of; "The doctor advocated a smoking ban in the entire house"  
*preachy-------------------s| inclined to or marked by tedious moralization  
*preamble------------------v| make a preliminary introduction, usually to a formal document  
*preanal-------------------a| situated in front of the anus  
*prearrange----------------v| arrange beforehand  
*prearranged---------------s| planned beforehand; "a prearranged signal"  
*precancerous--------------a| of or relating to a growth that is not malignant but is likely to become so if not treated  
*precarious----------------s| affording no ease or reassurance; "a precarious truce"  
*precarious----------------s| dangerously insecure; "a precarious footing on the ladder"  
*precarious----------------s| not secure; beset with difficulties; "a shaky marriage"  
*precariously--------------r| in a precarious manner; "being a precariously dominant minority is a difficult position for human nature to cope with"  
*precast-------------------s| of structural members especially of concrete; cast into form before being transported to the site of installation  
*precatory-----------------s| expressing entreaty or supplication; "precatory overtures"  
*precautionary-------------s| taken in advance to protect against possible danger or failure; "gave precautionary advice"; "I would take precautionary steps to keep him away"  
*precede-------------------v| be the predecessor of; "Bill preceded John in the long line of Susan's husbands"  
*precede-------------------v| come before; "Most English adjectives precede the noun they modify"  
*precede-------------------v| furnish with a preface or introduction; "She always precedes her lectures with a joke"; "He prefaced his lecture with a critical remark about the institution"  
*precede-------------------v| move ahead (of others) in time or space  
*precedent-----------------s| preceding in time, order, or significance  
*precedented---------------a| having or supported or justified by a precedent  
*precedential--------------s| having precedence (especially because of longer service); "precedential treatment for senior members of the firm"  
*preceding(a)--------------a| existing or coming before  
*precess-------------------v| move in a gyrating fashion; "the poles of the Earth precess at a right angle to the force that is applied"  
*precious------------------r| extremely; "there is precious little time left"  
*precious------------------s| of high worth or cost; "diamonds, sapphires, rubies, and emeralds are precious stones"  
*preciously----------------r| in a precious manner; "his preciously valuable collection"  
*precipitate---------------v| bring about abruptly; "The crisis precipitated by Russia's revolution"  
*precipitate---------------v| fall from clouds; "rain, snow and sleet were falling"; "Vesuvius precipitated its fiery, destructive rage on Herculaneum"  
*precipitate---------------v| fall vertically, sharply, or headlong; "Our economy precipitated into complete ruin"  
*precipitate---------------v| hurl or throw violently; "The bridge broke and precipitated the train into the river below"  
*precipitate---------------v| separate as a fine suspension of solid particles  
*precipitating(a)----------s| bringing on suddenly or abruptly; "the completion of the railroad was the precipitating cause in the extinction of water-borne commerce"  
*precipitous---------------s| characterized by precipices; "a precipitous bluff"  
*precipitously-------------r| abruptly; in a precipitous manner; "the mountains rose precipitously from the shore"  
*precipitously-------------r| very suddenly and to a great degree; "conditions that precipitously increase the birthrate"; "prices rose sharply"  
*precis--------------------v| make a summary (of)  
*precise-------------------a| sharply exact or accurate or delimited; "a precise mind"; "specified a precise amount"; "arrived at the precise moment"  
*precisely-----------------r| in a precise manner; "she always expressed herself precisely"  
*precisely-----------------r| indicating exactness or preciseness; "he was doing precisely (or exactly) what she had told him to do"; "it was just as he said--the jewel was gone"; "it has just enough salt"  
*precisely-----------------r| just as it should be; "`Precisely, my lord,' he said"  
*preclinical---------------a| of or relating to the early phases of a disease when accurate diagnosis is not possible because symptoms of the disease have not yet appeared  
*preclude------------------v| make impossible, especially beforehand  
*preclusive----------------s| made impossible  
*precocial-----------------a| (of hatchlings) covered with down and having eyes open; capable of leaving the nest within a few days  
*precocious----------------a| characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude); "a precocious child"; "a precocious achievement"  
*precocious----------------s| appearing or developing early; "precocious flowers appear before the leaves as in some species of magnolias"  
*precociously--------------r| in a precocious manner; "her child behaves precociously"  
*preconceive---------------v| conceive beforehand; "a preconceived notion"  
*preconceived--------------a| (of an idea or opinion) formed beforehand; especially without evidence or through prejudice; "certain preconceived notions"  
*preconcerted--------------s| previously arranged or agreed on; "following preconcerted plans"  
*precondition--------------v| put into the required condition beforehand  
*preconditioned------------s| having already been put into a suitable condition; "a surface preconditioned to receive paint"; "customers preconditioned to buy a product"  
*precook-------------------v| cook beforehand so that the actual preparation won't take long; "precook the rice"  
*precooked-----------------s| cooked partially or completely beforehand; "frozen precooked meals from the supermarket"  
*precooled-----------------s| cooled in advance  
*precordial----------------a| in front of the heart; involving the precordium  
*precursory----------------s| warning of future misfortune  
*predaceous----------------s| living by or given to victimizing others for personal gain; "predatory capitalists"; "a predatory, insensate society in which innocence and decency can prove fatal"- Peter S. Prescott; "a predacious kind of animal--the early geological gangster"- W.E.Swinton  
*predacious----------------s| hunting and killing other animals for food  
*predate-------------------v| be earlier in time; go back further; "Stone tools precede bronze tools"  
*predate-------------------v| establish something as being earlier relative to something else  
*predatory-----------------s| living by preying on other animals especially by catching living prey; "a predatory bird"; "the rapacious wolf"; "raptorial birds"; "ravening wolves"; "a vulturine taste for offal"  
*predecease----------------v| die before; die earlier than; "She predeceased her husband"  
*predestinarian------------a| of or relating to predestination; holding the doctrine of predestination  
*predestine----------------v| decree or determine beforehand  
*predestine----------------v| foreordain by divine will or decree  
*predestine----------------v| foreordain or determine beforehand  
*predetermine--------------v| determine beforehand  
*predicate-----------------v| affirm or declare as an attribute or quality of; "The speech predicated the fitness of the candidate to be President"  
*predicate-----------------v| make the (grammatical) predicate in a proposition; "The predicate `dog' is predicated of the subject `Fido' in the sentence `Fido is a dog'"  
*predicative---------------a| of adjectives; relating to or occurring within the predicate of a sentence; "`red' is a predicative adjective in `the apple is red'"  
*predicatively-------------r| occuring within the predicate phrase; "predicatively used adjectives"  
*predict-------------------v| make a prediction about; tell in advance; "Call the outcome of an election"  
*predictable---------------a| possible to foretell  
*predictably---------------r| in a predictable manner or to a predictable degree; "predictably, he did not like the news"  
*predictive----------------s| of or relating to prediction; having value for making predictions  
*predigest-----------------v| digest (food) beforehand  
*predigested---------------s| artificially partially digested as by enzymatic action; "predigested foods are a boon for those who are ill or have impaired digestion"  
*predispose----------------v| make susceptible; "This illness predisposes you to gain weight"  
*predisposed---------------s| made susceptible; "because of conditions in the mine, miners are predisposed to lung disease"  
*predominantly-------------r| much greater in number or influence; "the patients are predominantly indigenous"  
*predominate---------------v| be larger in number, quantity, power, status or importance; "Money reigns supreme here"; "Hispanics predominate in this neighborhood"  
*preempt-------------------v| acquire by preemption  
*preempt-------------------v| make a preemptive bid  
*preemptive----------------s| designed or having the power to deter or prevent an anticipated situation or occurrence; "a preemptive business offer"  
*preen---------------------v| clean with one's bill; "The birds preened"  
*preen---------------------v| dress or groom with elaborate care; "She likes to dress when going to the opera"  
*preen---------------------v| pride or congratulate (oneself) for an achievement  
*preexist------------------v| exist beforehand or prior to a certain point in time; "Did this condition pre-exist?"  
*preexistent---------------s| existing previously or before something; "variations on pre-existent musical themes"  
*prefab--------------------s| manufactured in standard sizes to be shipped and assembled elsewhere; "a prefabricated structure"  
*prefabricate--------------v| produce synthetically, artificially, or stereotypically and unoriginally  
*prefabricate--------------v| to manufacture sections of (a building), especially in a factory, so that they can be easily transported to and rapidly assembled on a building site of buildings  
*prefaded------------------s| (of fabric or clothing) having been given a faded (weathered) appearance by artificial means  
*prefectural---------------a| of or relating to a prefecture; "a prefectural museum"  
*prefer--------------------v| give preference to one creditor over another  
*prefer--------------------v| like better; value more highly; "Some people prefer camping to staying in hotels"; "We prefer sleeping outside"  
*prefer--------------------v| promote over another; "he favors his second daughter"  
*preferable----------------s| more desirable than another; "coffee is preferable to tea"; "Danny's preferred name is `Dan'"  
*preferably----------------r| more readily or willingly; "clean it well, preferably with warm water"; "I'd rather be in Philadelphia"; "I'd sooner die than give up"  
*preferentially------------r| in a preferential manner; "he was treated preferentially"  
*prefigure-----------------v| imagine or consider beforehand; "It wasn't as bad as I had prefigured"  
*prefix--------------------v| attach a prefix to; "prefixed words"  
*preform-------------------v| form into a shape resembling the final, desired one  
*preform-------------------v| form or shape beforehand or determine the shape of beforehand  
*prefrontal----------------s| anterior to a frontal structure; "a prefrontal bone"; "prefrontal lobes"  
*pregnant------------------a| carrying developing offspring within the body or being about to produce new life  
*preheat-------------------v| heat beforehand; "Preheat the oven!"  
*prehensile----------------a| adapted for grasping especially by wrapping around an object; "a monkey's prehensile tail"  
*prehensile----------------s| having a keen intellect; "poets--those gifted strangely prehensile men"- A.T.Quiller-Couch  
*prehistoric---------------a| of or relating to times before written history; "prehistoric archeology"  
*prehistoric---------------s| belonging to or existing in times before recorded history; "prehistoric settlements"; "prehistoric peoples"  
*prehistoric---------------s| no longer fashionable; "my mother has these prehistoric ideas about proper clothes"  
*preisolate----------------v| isolate beforehand  
*prejudge------------------v| judge beforehand, especially without sufficient evidence  
*prejudice-----------------v| disadvantage by prejudice  
*prejudice-----------------v| influence (somebody's) opinion in advance  
*prejudiced----------------a| being biased or having a belief or attitude formed beforehand; "a prejudiced judge"  
*prejudiced----------------s| emanating from a person's emotions and prejudices  
*prelapsarian--------------a| of or relating to the time before the Fall of Adam and Eve  
*preliminary---------------s| designed to orient or acquaint with a situation before proceeding; "a preliminary investigation"  
*preliterate---------------s| not yet having acquired the ability to read and write  
*preliterate---------------s| used of a society that has not developed writing  
*prelude-------------------v| play as a prelude  
*prelude-------------------v| serve as a prelude or opening to  
*premature-----------------a| born after a gestation period of less than the normal time; "a premature infant"  
*premature-----------------s| uncommonly early or before the expected time; "illness led to his premature death"; "alcohol brought him to an untimely end"  
*prematurely---------------r| (of childbirth) before the end of the normal period of gestation; "the child was born prematurely"  
*prematurely---------------r| too soon; in a premature manner; "I spoke prematurely"  
*premedical----------------a| preparing for the study of medicine; "premedical students"  
*premedical----------------s| preceding and preparing for the study of medicine; "premedical courses"  
*premeditate---------------v| consider, ponder, or plan (an action) beforehand; "premeditated murder"  
*premeditate---------------v| think or reflect beforehand or in advance; "I rarely premeditate, which is a mistake"  
*premeditated--------------a| characterized by deliberate purpose and some degree of planning; "a premeditated crime"  
*premenopausal-------------a| prior to menopause  
*premenstrual--------------a| of or relating to or occurring during the period just before menstruation  
*premier-------------------s| preceding all others in time; "the premiere showing"  
*premier-------------------v| be performed for the first time; "We premiered the opera of the young composer and it was a critical success"  
*premier-------------------v| perform a work for the first time  
*premier(a)----------------s| first in rank or degree; "an architect of premier rank"; "the prime minister"  
*premise-------------------v| set forth beforehand, often as an explanation; "He premised these remarks so that his readers might understand"  
*premise-------------------v| take something as preexisting and given  
*premium-------------------s| having or reflecting superior quality or value; "premium gasoline at a premium price"  
*prenatal------------------a| occurring or existing before birth; "the prenatal period"; "antenatal care"  
*prenuptial----------------a| relating to events before a marriage; "prenuptial agreement"  
*preoccupy-----------------v| engage or engross the interest or attention of beforehand or occupy urgently or obsessively; "His work preoccupies him"; "The matter preoccupies her completley--she cannot think of anything else"  
*preoccupy-----------------v| occupy or take possession of beforehand or before another or appropriate for use in advance; "the army preoccupied the hills"  
*preoperative--------------s| happening or done before and in preparation for a surgical operation  
*prepackaged---------------s| prepared and wraped beforehand and ready for sale; "prepackaged foods"  
*preparatory---------------s| preceding and preparing for something; "preparatory steps"  
*prepare-------------------v| lead up to and soften by sounding the dissonant note in it as a consonant note in the preceding chord; "prepare the discord in bar 139"  
*prepare-------------------v| prepare (someone) for a future role or function; "He is grooming his son to become his successor"; "The prince was prepared to become King one day"; "They trained him to be a warrior"  
*prepare-------------------v| to prepare verbally, either for written or spoken delivery; "prepare a report"; "prepare a speech"  
*prepared------------------a| made ready or fit or suitable beforehand; "a prepared statement"; "be prepared for emergencies"  
*prepared------------------s| equipped or prepared with necessary intellectual resources; "graduates well equipped to handle such problems"; "equipped to be a scholar"  
*prepay--------------------v| pay for something before receiving it  
*preponderate--------------v| weigh more heavily  
*prepose-------------------v| place before another constituent in the sentence; "English proposes the adpositions; Japanese postposes them"  
*prepositional-------------a| of or relating to or formed with a preposition; "prepositional phrase"  
*prepossess----------------v| cause to be preoccupied; "The idea of his failure prepossesses him"  
*prepossess----------------v| make a positive impression (on someone) beforehand; "A prepossessing appearance"  
*prepossess----------------v| possess beforehand  
*prepossessing-------------s| creating a favorable impression; "strong and vigorous and of prepossessing appearance"  
*preprandial---------------a| preceding a meal (especially dinner); "a preprandial drink"  
*prepubescent--------------s| (especially of human beings) at the age immediately before puberty; often marked by accelerated growth  
*prepupal------------------s| of an inactive stage in the development of some insects, between the larval and the pupal stages; "the prepupal stage"  
*prerecord-----------------v| record before presentation, as of a broadcast  
*prerecorded---------------s| recorded at one time for transmission later  
*prerequisite--------------s| required as a prior condition or course of study  
*prescient-----------------s| perceiving the significance of events before they occur; "extroardinarily prescient memoranda on the probable course of postwar relations"-R.H.Rovere  
*presciently---------------r| with foresight; "more presciently than they superiors, these workers grasped the economic situation"  
*prescribed----------------s| set down as a rule or guide  
*prescription(a)-----------a| available only with a doctor's written prescription; "a prescription drug"  
*prescriptive--------------a| giving directives or rules; "prescriptive grammar is concerned with norms of or rules for correct usage"  
*present-------------------a| spatial sense; being or existing in a specified place; "the murderer is present in this room"; "present at the wedding"; "present at the creation"  
*present-------------------v| bring forward and present to the mind; "We presented the arguments to him"; "We cannot represent this knowledge to our formal reason"  
*present-------------------v| formally present a debutante, a representative of a country, etc.  
*present-------------------v| hand over formally  
*present-------------------v| introduce; "This poses an interesting question"  
*present(a)----------------a| temporal sense; intermediate between past and future; now existing or happening or in consideration; "the present leader"; "articles for present use"; "the present topic"; "the present system"; "present observations"  
*presentable---------------s| fit to be seen; "presentable clothes"  
*presentably---------------r| in a presentable manner; "years ago in her white-painted infancy it must have hung presentably on the deck of some luxury liner"  
*presentational------------a| of or relating to a presentation (especially in psychology or philosophy); "what Whitehead calls `perception in the presentational immediacy'"  
*presently-----------------r| at this time or period; now; "he is presently our ambassador to the United Nations"; "currently they live in Connecticut"  
*preservable---------------s| capable of being preserved  
*preservative--------------s| tending or having the power to preserve; "the timbers should be treated with a preservative"  
*preserve------------------v| keep undisturbed for personal or private use for hunting, shooting, or fishing; "preserve the forest and the lakes"  
*preserve------------------v| prevent (food) from rotting; "preserved meats"; "keep potatoes fresh"  
*preserved-----------------a| kept intact or in a particular condition  
*preserved-----------------a| prevented from decaying or spoiling and prepared for future use  
*preset--------------------s| set in advance; "a preset plan of action"; "at a predetermined time"  
*preside-------------------v| act as president; "preside over companies and corporations"  
*presidential--------------a| befitting a president; "criticized the candidate for not looking presidential"  
*presidential--------------a| relating to a president or presidency; "presidential aides"; "presidential veto"  
*presocratic---------------a| before the time of Socrates  
*press---------------------v| be urgent; "This is a pressing problem"  
*press---------------------v| create by pressing; "Press little holes into the soft clay"  
*press---------------------v| crowd closely; "The crowds pressed along the street"  
*press---------------------v| exert pressure or force to or upon; "He pressed down on the boards"; "press your thumb on this spot"  
*press---------------------v| make strenuous pushing movements during birth to expel the baby; "`Now push hard,' said the doctor to the woman"  
*press---------------------v| place between two surfaces and apply weight or pressure; "pressed flowers"  
*press---------------------v| press from a plastic; "press a record"  
*press_down----------------v| press down; "Depress the space key"  
*press_on------------------v| continue moving forward  
*press_out-----------------v| obtain from a substance, as by mechanical action; "Italians express coffee rather than filter it"  
*pressed-------------------s| compacted by ironing  
*pressing------------------s| compelling immediate action; "too pressing to permit of longer delay"; "the urgent words `Hurry! Hurry!'"; "bridges in urgent need of repair"  
*pressingly----------------r| in a pressing manner  
*pressor-------------------a| increasing (or tending to increase) blood pressure; "pressor reflexes"  
*pressure-cook-------------v| cook in a pressure cooker  
*pressure-cooker(a)--------s| very intense and demanding; stressful; "subjecting children to a pressure-cooker situation in the school"  
*pressure-wash-------------v| wash before painting to remove old paint and mildew; "pressure-wash the house"  
*pressurize----------------v| increase the pressure in or of; "The captain will pressurize the cabin for the passengers' comfort"  
*pressurize----------------v| maintain a certain pressure; "the airplane cabin is pressurized"; "pressurize a space suit"  
*pressurized---------------s| maintained at a certain atmospheric pressure; "in a pressurized cabin the air pressure is comfortable for breathing"; "cooking with pressurized steam"  
*prestigious---------------s| exerting influence by reason of high status or prestige; "a prestigious professor at a prestigious university"  
*prestissimo---------------r| extremely fast; as fast as possible; "this passage should be played prestissimo"  
*prestissimo---------------s| (of tempo) as fast as possible  
*presto--------------------r| at a very fast tempo (faster than allegro)  
*presto--------------------r| suddenly; "Presto! begone! 'tis here again"- Swift  
*presto--------------------s| (of tempo) very fast  
*presumable----------------s| able to be inferred on slight grounds  
*presumably----------------r| by reasonable assumption; "presumably, he missed the train"  
*presume-------------------v| constitute reasonable evidence for; "A restaurant bill presumes the consumption of food"  
*presume-------------------v| take liberties or act with too much confidence  
*presumed(a)---------------s| presumed to be true in the absence of proof to the contrary; "the presumed reason for his anger"  
*presumptive---------------s| affording reasonable grounds for belief or acceptance; "presumptive evidence"; "a strong presumptive case is made out"  
*presumptive---------------s| having a reasonable basis for belief or acceptance; "the presumptive heir (or heir apparent)"  
*presumptuously------------r| in a presumptuous manner; "he presumptuously overstepped the doctor's orders"  
*presuppose----------------v| require as a necessary antecedent or precondition; "This step presupposes two prior ones"  
*presuppose----------------v| take for granted or as a given; suppose beforehand; "I presuppose that you have done your work"  
*preteen-------------------s| of or relating to or designed for children between the ages of 9 and 12; "a preteen party"; "preteen clothing"  
*pretend-------------------v| put forward a claim and assert right or possession of; "pretend the title of King"  
*pretentious---------------a| making claim to or creating an appearance of (often undeserved) importance or distinction; "a pretentious country house"; "a pretentious fraud"; "a pretentious scholarly edition"  
*pretentiously-------------r| in a pretentious manner; "this author writes pretentiously"  
*pretermit-----------------v| disregard intentionally or let pass  
*preternatural-------------s| surpassing the ordinary or normal; "Beyond his preternatural affability there is some acid and some steel"- George Will  
*preternaturally-----------r| in a supernatural manner; "she was preternaturally beautiful"  
*pretrial------------------s| preceding an official trial; "pretrial publicity"; "pretrial hearings are usually for the purpose of clarifying facts and points of la"  
*prettily------------------r| in a pretty manner; "all this is most prettily done"  
*pretty--------------------r| used as an intensifier (`jolly' is used informally in Britain); "pretty big"; "pretty bad"; "jolly decent of him"  
*pretty--------------------s| (used ironically) unexpectedly bad; "a pretty mess"; "a pretty kettle of fish"  
*pretty--------------------s| pleasing by delicacy or grace; not imposing; "pretty girl"; "pretty song"; "pretty room"  
*pretty-pretty-------------s| ostentatiously or inappropriately pretty  
*pretty_much---------------r| to some degree; "we were pretty much lost when we met the forest ranger"  
*prevail-------------------v| be valid, applicable, or true; "This theory still holds"  
*prevail-------------------v| continue to exist; "These stories die hard"; "The legend of Elvis endures"  
*prevail-------------------v| prove superior; "The champion prevailed, though it was a hard fight"  
*prevail-------------------v| use persuasion successfully; "He prevailed upon her to visit his parents"  
*prevailing----------------s| encountered generally especially at the present time; "the prevailing opinion was that a trade war could be averted"; "the most prevalent religion in our area"; "speculation concerning the books author was rife"  
*prevailing----------------s| most frequent or common; "prevailing winds"  
*prevent-------------------v| keep from happening or arising; have the effect of preventing; "My sense of tact forbids an honest answer"  
*prevent-------------------v| prevent from doing something or being in a certain state; "We must prevent the cancer from spreading"; "His snoring kept me from falling asleep"; "Keep the child from eating the marbles"  
*preventable---------------a| capable of being prevented; "conscious of preventable human suffering"- A.L.Guerard  
*preventive----------------a| tending to prevent or hinder  
*preventive----------------s| preventing or contributing to the prevention of disease; "preventive medicine"; "vaccines are prophylactic"; "a prophylactic drug"  
*preview-------------------v| watch (a movie or play) before it is released to the general public  
*previous(a)---------------s| just preceding something else in time or order; "the previous owner"; "my old house was larger"  
