Tue |Thu |      0|30-04-0520| 1500| 215 |   1505|Yes |LQ   4|   N/A   |-- Exact 1500 Years Ago -- 
Mon |Mon |    130|07-09-2020|   -1|   0*|      6|Yes |O   18|2006 2025|--- Next -- Event:- Brazilian Independence Day ---- @ Mon-07-Sep-2020
Tue |Tue |    131|08-09-1970|   49|   7*|     56|No  |FQ*  7|1976 2090|Birthday Paul Butcher
Mon |Tue |    131|08-09-2008|   11|   2 |     17|Yes |FQ   8|1976 2090|Birthday Edd Jo Baby Evie
Wed |Tue |    131|08-09-2010|    9|   1 |     11|No  |. *  0|1976 2090|--- New Moon * ---- @ Wed-08-Sep-2010 10:30:52a
Sun |Tue |    131|08-09-2019|    0|   1 |      5|No  |FQ   8|1976 2090|--- Event:- International Literacy Day ---- @ Sun-08-Sep-2019
Sun |Tue |    131|08-09-2019|    0|   1 |      5|No  |FQ   8|1976 2090|--- Last -- Event:- Blessed Virgin Mary ---- @ Sun-08-Sep-2019
Sun |Tue |    131|08-09-2019|    0|   1 |      5|No  |FQ   8|1976 2090|--- Last -- Event:- International Literacy Day ---- @ Sun-08-Sep-2019
Tue |Tue |    131|08-09-2020|   -1|   0*|      6|Yes |O   19|1976 2090|--- Event:- International Literacy Day ---- @ Tue-08-Sep-2020
Tue |Tue |    131|08-09-2020|   -1|   0*|      6|Yes |O   19|1976 2090|--- Next -- Event:- Blessed Virgin Mary ---- @ Tue-08-Sep-2020
Tue |Tue |    131|08-09-2020|   -1|   0*|      6|Yes |O   19|1976 2090|--- Next -- Event:- International Literacy Day ---- @ Tue-08-Sep-2020
Fri |Wed |    132|09-09-1977|   42|   7 |     45|No  |LQ  25|2014 2033|EDDIE LANCASTER Birthday BROTHER
Fri |Wed |    132|09-09-1988|   31|   5 |     34|Yes |LQ  27|2014 2033|Went on tae kwon do holiday
Tue |Wed |    132|09-09-2014|    5|   1 |     11|No  |O * 14|2014 2033|--- Full Moon * ---- @ Tue-09-Sep-2014 01:39:15a
Tue |Thu |    133|10-09-2019|    0|   1 |      5|No  |FQ  10|2003 2022|--- Last -- Event:- Birthday Colleen Davies ---- @ Tue-10-Sep-2019
Thu |Thu |    133|10-09-2020|   -1|   0*|      6|Yes |LQ* 22|2003 2022|--- Next -- Event:- Birthday Colleen Davies ---- @ Thu-10-Sep-2020
Wed |Fri |    134|11-09-1968|   51|   8 |     56|Yes |O   18|1965 2030|Birthday ANDY BROOKER
Wed |Fri |    134|11-09-1985|   34|   6 |     39|No  |LQ  25|1965 2030|Started ITEC
Tue |Fri |    134|11-09-2001|   18|   4 |     28|No  |LQ  22|1965 2030|Sept 11 2001
Wed |Fri |    134|11-09-2002|   17|   3 |     22|No  |.    3|1965 2030|Kevin Lights office no magic here
Tue |Fri |    134|11-09-2007|   12|   3 |     22|No  |. *  0|1965 2030|--- New Moon * ---- @ Tue-11-Sep-2007 12:45:22p
Mon |Sat |    135|12-09-2011|    8|   2 |     11|No  |O * 14|2011 2087|--- Full Moon * ---- @ Mon-12-Sep-2011 09:27:49a
Mon |Sun |    136|13-09-2004|   15|   2 |     17|Yes |LQ  27|2000 2038|Dr El Sayed 16th 11am
Fri |Sun |    136|13-09-2019|    0|   1 |      5|No  |FQ  13|2000 2038|--- Friday The 13th ---- @ Fri-13-Sep-2019
Wed |Mon |    137|14-09-1977|   42|   7 |     45|No  |.    0|2019 2065|Andrew Macmillan Birthday
Sat |Mon |    137|14-09-2019|    0|   1 |      5|No  |O * 14|2019 2065|--- Last -- Harvest Moon - Full Moon Closest to the Autumnal Equinox ---- @ 14-09-2019 - 05:34:05
Mon |Tue |    138|15-09-2008|   11|   2 |     17|Yes |O * 15|2008 2027|--- Full Moon * ---- @ Mon-15-Sep-2008 09:14:33a
Sun |Tue |    138|15-09-2019|    0|   1 |      5|No  |O   15|2008 2027|--- Last -- Event:- International Day of Democracy ---- @ Sun-15-Sep-2019
Tue |Tue |    138|15-09-2020|   -1|   0*|      6|Yes |LQ  26|2008 2027|--- Next -- Event:- International Day of Democracy ---- @ Tue-15-Sep-2020
Mon |Wed |    139|16-09-2002|   17|   3 |     22|No  |FQ   8|2016 2073|Cathy-link-worker Fuller 15 of 16
Sun |Wed |    139|16-09-2012|    7|   2 |     17|Yes |. *  0|2016 2073|--- New Moon * ---- @ Sun-16-Sep-2012 02:11:45a
Fri |Fri |    141|18-09-1970|   49|   7*|     56|No  |O   17|2005 2024|Jimi Hendrix Dies at party in London.
Fri |Fri |    141|18-09-2009|   10|   2*|     17|No  |. *  0|2005 2024|--- New Moon * ---- @ Fri-18-Sep-2009 06:45:26p
Sat |Sat |    142|19-09-2009|   10|   2*|     17|No  |.    0|2013 2032|Buy 2 * Sim Card VODAFONE NO NUMBER SIX'S
Thu |Sat |    142|19-09-2013|    6|   2 |     11|No  |O * 13|2013 2032|--- Full Moon * ---- @ Thu-19-Sep-2013 11:13:56a
Thu |Sat |    142|19-09-2019|    0|   1 |      5|No  |O   19|2013 2032|--- Last -- Event:- International Talk Like A Pirate Day ---- @ Thu-19-Sep-2019
Sat |Sat |    142|19-09-2020|   -1|   0*|      6|Yes |.    1|2013 2032|--- Next -- Event:- International Talk Like A Pirate Day ---- @ Sat-19-Sep-2020
Fri |Mon |    144|21-09-2007|   12|   3 |     22|No  |FQ   9|2002 2059|Won Tribunal 1st One Condition Move to Rutlands
Sat |Mon |    144|21-09-2019|    0|   1 |      5|No  |O   21|2002 2059|--- Event:- International Day of Peace 1981 ---- @ Sat-21-Sep-2019
Sat |Mon |    144|21-09-2019|    0|   1 |      5|No  |O   21|2002 2059|--- Last -- Event:- International Day of Peace 1981 ---- @ Sat-21-Sep-2019
Sat |Mon |    144|21-09-2019|    0|   1 |      5|No  |O   21|2002 2059|--- Last -- Event:- St Matthew ---- @ Sat-21-Sep-2019
Mon |Mon |    144|21-09-2020|   -1|   0*|      6|Yes |.    3|2002 2059|--- Event:- International Day of Peace 1981 ---- @ Mon-21-Sep-2020
Mon |Mon |    144|21-09-2020|   -1|   0*|      6|Yes |.    3|2002 2059|--- Next -- Event:- International Day of Peace 1981 ---- @ Mon-21-Sep-2020
Mon |Mon |    144|21-09-2020|   -1|   0*|      6|Yes |.    3|2002 2059|--- Next -- Event:- St Matthew ---- @ Mon-21-Sep-2020
Sun |Tue |    145|22-09-2019|    0|   1 |      5|No  |LQ* 22|1983 2029|--- Last -- Autumnal Equinox ---- @ Sun-22-Sep-2019
Sun |Tue |    145|22-09-2019|    0|   1 |      5|No  |LQ* 22|1983 2029|--- Last -- Event:- Autumn Begins Diary Book ---- @ Sun-22-Sep-2019
Tue |Tue |    145|22-09-2020|   -1|   0*|      6|Yes |.    4|1983 2029|--- Next -- Autumnal Equinox ---- @ Tue-22-Sep-2020
Tue |Tue |    145|22-09-2020|   -1|   0*|      6|Yes |.    4|1983 2029|--- Next -- Event:- Autumn Begins Diary Book ---- @ Tue-22-Sep-2020
Tue |Wed |    146|23-09-1952|   67|  10 |     73|Yes |.    3|2010 2056|Birthday Uncle Jez
Fri |Wed |    146|23-09-1988|   31|   5 |     34|Yes |FQ  11|2010 2056|Darrels Birthday..
Thu |Wed |    146|23-09-2010|    9|   1 |     11|No  |O * 14|2010 2056|--- Full Moon * ---- @ Thu-23-Sep-2010 09:18:19a
Mon |Wed |    146|23-09-2019|    0|   1 |      5|No  |LQ  23|2010 2056|--- Last -- Event:- 7th Sign Libra Sep23 Oct22 Air Sign Ruled by Venus: The Balance ---- @ Mon-23-Sep-2019
Wed |Wed |    146|23-09-2020|   -1|   0*|      6|Yes |.    5|2010 2056|--- Next -- Event:- 7th Sign Libra Sep23 Oct22 Air Sign Ruled by Venus: The Balance ---- @ Wed-23-Sep-2020
Wed |Thu |    147|24-09-2014|    5|   1 |     11|No  |. *  0|1980 2037|--- New Moon * ---- @ Wed-24-Sep-2014 06:14:58a
Wed |Sat |    149|26-09-2007|   12|   3 |     22|No  |O * 15|2007 2026|--- Full Moon * ---- @ Wed-26-Sep-2007 07:46:12p
Thu |Sat |    149|26-09-2019|    0|   1 |      5|No  |LQ  26|2007 2026|--- Last -- Event:- European Day of Languages ---- @ Thu-26-Sep-2019
Sat |Sat |    149|26-09-2020|   -1|   0*|      6|Yes |FQ   8|2007 2026|--- Next -- Event:- European Day of Languages ---- @ Sat-26-Sep-2020
Sat |Sat |    149|26-09-2020|   -1|   0*|      6|Yes |FQ   8|2007 2026|--- Next -- Event:- Grand Parents Day ---- @ Sat-26-Sep-2020
Mon |Sun |    150|27-09-1999|   20|   3 |     22|No  |O   17|1996 2053|Dr Le Seve  6 of 15
Tue |Sun |    150|27-09-2011|    8|   2 |     11|No  |. *  0|1996 2053|--- New Moon * ---- @ Tue-27-Sep-2011 11:09:42a
Fri |Sun |    150|27-09-2019|    0|   1 |      5|No  |LQ  27|1996 2053|--- Last -- Event:- International Tourism Day ---- @ Fri-27-Sep-2019
Sun |Sun |    150|27-09-2020|   -1|   0*|      6|Yes |FQ   9|1996 2053|--- Next -- Event:- International Tourism Day ---- @ Sun-27-Sep-2020
Sat |Mon |    151|28-09-2019|    0|   1 |      5|No  |. *  0|2015 2034|--- Last -- Event:- Grand Parents Day ---- @ Sat-28-Sep-2019
Tue |Tue |    152|29-09-1998|   21|   3*|     28|No  |FQ   8|1985 2023|Dr Baker + others not karen 10apm after care meeting section 117 regency
Mon |Tue |    152|29-09-2008|   11|   2 |     17|Yes |. *  0|1985 2023|--- New Moon * ---- @ Mon-29-Sep-2008 08:13:28a
Sat |Tue |    152|29-09-2018|    1|   1 |     11|No  |O   19|1985 2023|--- Event:- Grand Parents Day ---- @ Sat-29-Sep-2018
Sun |Tue |    152|29-09-2019|    0|   1 |      5|No  |.    0|1985 2023|--- Last -- Event:- Scotland Yard Anniversary ---- @ Sun-29-Sep-2019
Sun |Tue |    152|29-09-2019|    0|   1 |      5|No  |.    0|1985 2023|--- Last -- Event:- St Micheal ---- @ Sun-29-Sep-2019
Tue |Tue |    152|29-09-2020|   -1|   0*|      6|Yes |FQ  11|1985 2023|--- Next -- Event:- Scotland Yard Anniversary ---- @ Tue-29-Sep-2020
Tue |Tue |    152|29-09-2020|   -1|   0*|      6|Yes |FQ  11|1985 2023|--- Next -- Event:- St Micheal ---- @ Tue-29-Sep-2020
Sun |Wed |    153|30-09-1917|  102|  16 |    112|No  |O * 14|2012 2031|--- Calendar Blue Moon ---- @ Sun-30-Sep-1917 08:31:06p --- 2nd Full Moon in Month
Wed |Wed |    153|30-09-1936|   83|  12*|     90|Yes |O * 15|2012 2031|--- Calendar Blue Moon ---- @ Wed-30-Sep-1936 09:01:05p --- 2nd Full Moon in Month
Thu |Wed |    153|30-09-1993|   26|   4 |     28|No  |O * 14|2012 2031|--- Calendar Blue Moon ---- @ Thu-30-Sep-1993 06:54:51p --- 2nd Full Moon in Month
Mon |Wed |    153|30-09-2002|   17|   3 |     22|No  |LQ  22|2012 2031|Cathy-link-worker Fuller 16 of 16
Sun |Wed |    153|30-09-2012|    7|   2 |     17|Yes |O * 14|2012 2031|--- Full Moon * ---- @ Sun-30-Sep-2012 03:19:39a
Mon |Wed |    153|30-09-2019|    0|   1 |      5|No  |.    1|2012 2031|--- Last -- Event:- International Spelling Day ---- @ Mon-30-Sep-2019
Mon |Wed |    153|30-09-2019|    0|   1 |      5|No  |.    1|2012 2031|--- Last -- Event:- Jewish New Year ---- @ Mon-30-Sep-2019
Wed |Wed |    153|30-09-2020|   -1|   0*|      6|Yes |FQ  12|2012 2031|--- Next -- Event:- International Spelling Day ---- @ Wed-30-Sep-2020
Wed |Wed |    153|30-09-2020|   -1|   0*|      6|Yes |FQ  12|2012 2031|--- Next -- Event:- Jewish New Year ---- @ Wed-30-Sep-2020
Tue |Thu |    154|01-10-1985|   34|   6 |     39|No  |O   16|1974*2126|Started seeing Sarah Turner
Thu |Thu |    154|01-10-1992|   27|   4*|     34|Yes |.    4|1974*2126|Melissa Melanie Farley Birthday
Mon |Thu |    154|01-10-2001|   18|   4 |     28|No  |FQ  13|1974*2126|Dr Le Seve 15 of 15 Transfered to Dr El Sayed canceled to 15-10-2001
Mon |Thu |    154|01-10-2018|    1|   1 |     11|No  |O   21|1974*2126|--- -- 4th Quarter Of Year -- ---- @ Mon-01-Oct-2018
Tue |Thu |    154|01-10-2019|    0|   1 |      5|No  |.    2|1974*2126|--- Last -- -- 4th Quarter Of Year -- ---- @ Tue-01-Oct-2019
Tue |Thu |    154|01-10-2019|    0|   1 |      5|No  |.    2|1974*2126|--- Last -- Event:- Start of Season Autumn Oct to Nov -- Amature Stuff ---- @ Tue-01-Oct-2019
Thu |Thu |    154|01-10-2020|   -1|   0*|      6|Yes |O * 14|1974*2126|--- Next -- -- 4th Quarter Of Year -- ---- @ Thu-01-Oct-2020
Thu |Thu |    154|01-10-2020|   -1|   0*|      6|Yes |O * 14|1974*2126|--- Next -- Event:- Start of Season Autumn Oct to Nov -- Amature Stuff ---- @ Thu-01-Oct-2020
Sat |Fri |    155|02-10-1452|  567|  79 |    569|Yes |FQ  19|   N/A   |Birthday - King Richard III
Thu |Sat |    156|03-10-2019|    0|   1 |      5|No  |.    4|1982 2028|--- Last -- Event:- Reunification Day in Germany ---- @ Thu-03-Oct-2019
Sat |Sat |    156|03-10-2020|   -1|   0*|      6|Yes |O   15|1982 2028|--- Next -- Event:- Reunification Day in Germany ---- @ Sat-03-Oct-2020
Sun |Sun |    157|04-10-2009|   10|   2*|     17|No  |O * 15|2009 2093|--- Full Moon * ---- @ Sun-04-Oct-2009 06:11:16a
Thu |Mon |    158|05-10-2000|   19|   3 |     23|Yes |FQ*  7|2017 2036|Karen Dillon 25th of 62
Fri |Mon |    158|05-10-2007|   12|   3 |     22|No  |LQ  23|2017 2036|Spend Day Rutland
Sat |Mon |    158|05-10-2013|    6|   2 |     11|No  |. *  0|2017 2036|--- New Moon * ---- @ Sat-05-Oct-2013 12:35:43a
Sat |Mon |    158|05-10-2019|    0|   1 |      5|No  |. *  6|2017 2036|--- Last -- Event:- World Teachers' Day ---- @ Sat-05-Oct-2019
Mon |Mon |    158|05-10-2020|   -1|   0*|      6|Yes |O   17|2017 2036|--- Next -- Event:- World Teachers' Day ---- @ Mon-05-Oct-2020
Thu |Wed |    160|07-10-1999|   20|   3 |     22|No  |LQ  27|2006 2025|Karen Dillon 14th of 62
Mon |Wed |    160|07-10-2002|   17|   3 |     22|No  |.    0|2006 2025|Karen Dillon 43rd of 62
Thu |Wed |    160|07-10-2010|    9|   1 |     11|No  |. *  0|2006 2025|--- New Moon * ---- @ Thu-07-Oct-2010 06:45:32p
Wed |Thu |    161|08-10-2014|    5|   1 |     11|No  |O * 14|2014 2033|--- Full Moon * ---- @ Wed-08-Oct-2014 10:51:41a
Wed |Fri |    162|09-10-2002|   17|   3 |     22|No  |.    2|1938 2022|Dr Habgood Cristine 20 of 21
Wed |Fri |    162|09-10-2019|    0|   1 |      5|No  |FQ  10|1938 2022|--- Last -- Event:- Jewish day of Atonement ---- @ Wed-09-Oct-2019
Wed |Fri |    162|09-10-2019|    0|   1 |      5|No  |FQ  10|1938 2022|--- Last -- Event:- John Lennon's birthday ---- @ Wed-09-Oct-2019
Fri |Fri |    162|09-10-2020|   -1|   0*|      6|Yes |O   21|1938 2022|--- Next -- Event:- Jewish day of Atonement ---- @ Fri-09-Oct-2020
Fri |Fri |    162|09-10-2020|   -1|   0*|      6|Yes |O   21|1938 2022|--- Next -- Event:- John Lennon's birthday ---- @ Fri-09-Oct-2020
Thu |Sat |    163|10-10-2002|   17|   3 |     22|No  |.    3|2003 2079|Got ban from aldrington
Sun |Sat |    163|10-10-2004|   15|   2 |     17|Yes |LQ  25|2003 2079|My Web Site Started
Thu |Sat |    163|10-10-2019|    0|   1 |      5|No  |FQ  11|2003 2079|--- Last -- Event:- World mental Health Day ---- @ Thu-10-Oct-2019
Sat |Sat |    163|10-10-2020|   -1|   0*|      6|Yes |LQ* 22|2003 2079|--- Next -- Event:- World mental Health Day ---- @ Sat-10-Oct-2020
Thu |Sun |    164|11-10-2007|   12|   3 |     22|No  |. *  0|1992 2030|--- New Moon * ---- @ Thu-11-Oct-2007 05:01:50a
Thu |Sun |    164|11-10-2007|   12|   3 |     22|No  |. *  0|1992 2030|Buy From Vodafone W880i Black -- £230 In Argos
Thu |Mon |    165|12-10-2006|   13|   2 |     17|No  |O   19|2011 2057|I Buy Acer Aspire 5002WLMi AMD Turion ML30 1.6GHz/1MB 512MB 60GB DVD±RW 15.4" WLAN XP Home--Cost £525.29
Wed |Mon |    165|12-10-2011|    8|   2 |     11|No  |O * 14|2011 2057|--- Full Moon * ---- @ Wed-12-Oct-2011 02:06:56a
Sat |Mon |    165|12-10-2019|    0|   1 |      5|No  |FQ  13|2011 2057|--- Last -- Event:- Columbus day ---- @ Sat-12-Oct-2019
Mon |Mon |    165|12-10-2020|   -1|   0*|      6|Yes |LQ  24|2011 2057|--- Next -- Event:- Columbus day ---- @ Mon-12-Oct-2020
Tue |Tue |    166|13-10-1970|   49|   7*|     56|No  |FQ  12|2019 2038|Birthday Ade Hill
Fri |Tue |    166|13-10-2000|   19|   3 |     23|Yes |O * 15|2019 2038|--- Friday The 13th On a Full Moon ---- @ Fri-13-Oct-2000
Sun |Tue |    166|13-10-2019|    0|   1 |      5|No  |O * 15|2019 2038|--- Last -- Event:- St. Edward the confessor's day ---- @ Sun-13-Oct-2019
Tue |Tue |    166|13-10-2020|   -1|   0*|      6|Yes |LQ  25|2019 2038|--- Next -- Event:- St. Edward the confessor's day ---- @ Tue-13-Oct-2020
Tue |Wed |    167|14-10-2008|   11|   2 |     17|Yes |O * 15|2008 2046|--- Full Moon * ---- @ Tue-14-Oct-2008 08:03:38p
Mon |Thu |    168|15-10-2001|   18|   4 |     28|No  |LQ  27|1951 2027|Dr El Sayed 1st 9.30am
Mon |Thu |    168|15-10-2001|   18|   4 |     28|No  |LQ  27|1951 2027|Karen Dillon 29th of 62 cpa review
Mon |Thu |    168|15-10-2012|    7|   2 |     17|Yes |. *  0|1951 2027|--- New Moon * ---- @ Mon-15-Oct-2012 12:03:36p
Fri |Fri |    169|16-10-1987|   32|   5*|     39|No  |LQ  22|2016 2054|Hurricane..
Tue |Fri |    169|16-10-2007|   12|   3 |     22|No  |.    4|2016 2054|Move Regency on 6th time to Start with Faraman Leaving baker coz New system
Wed |Fri |    169|16-10-2019|    0|   1 |      5|No  |O   17|2016 2054|--- Last -- Event:- World Food Day ---- @ Wed-16-Oct-2019
Fri |Fri |    169|16-10-2020|   -1|   0*|      6|Yes |. *  0|2016 2054|--- Next -- Event:- World Food Day ---- @ Fri-16-Oct-2020
Sun |Sun |    171|18-10-2009|   10|   2*|     17|No  |. *  0|1967 2032|--- New Moon * ---- @ Sun-18-Oct-2009 05:34:10a
Fri |Sun |    171|18-10-2013|    6|   2 |     11|No  |O * 13|1967 2032|--- Full Moon * ---- @ Fri-18-Oct-2013 11:38:45p
Fri |Sun |    171|18-10-2019|    0|   1 |      5|No  |O   19|1967 2032|--- Last -- Event:- St Luke ---- @ Fri-18-Oct-2019
Sun |Sun |    171|18-10-2020|   -1|   0*|      6|Yes |.    1|1967 2032|--- Next -- Event:- St Luke ---- @ Sun-18-Oct-2020
Wed |Mon |    172|19-10-2005|   14|   3 |     17|No  |O   15|2013 2051|Hospital Admitt 5th Stay
Sat |Tue |    173|20-10-2007|   12|   3 |     22|No  |FQ   8|1975 2021|Edd Jo Wedding
Mon |Wed |    174|21-10-2002|   17|   3 |     22|No  |O * 14|2002 2048|Dr El Sayed 6th
Sun |Thu |    175|22-10-1967|   52|   8 |     56|No  |O   18|1972 2029|Birthday Dexter Wilton
Mon |Thu |    175|22-10-2001|   18|   4 |     28|No  |.    5|1972 2029|Karen Dillon 30th of 62 3:30pm at home cpa stuff quicky
Mon |Thu |    175|22-10-2018|    1|   1 |     11|No  |FQ  12|1972 2029|--- Armistice Day Forerunner for Veterans Day ---- @ Mon-22-Oct-2018
Tue |Fri |    176|23-10-1973|   46|   8 |     56|No  |LQ  26|2010 2056|Birthday Cherie LANCASTER Fay
Tue |Fri |    176|23-10-2007|   12|   3 |     22|No  |FQ  11|2010 2056|Wr# and Move to Rutland
Sat |Fri |    176|23-10-2010|    9|   1 |     11|No  |O * 15|2010 2056|--- Full Moon * ---- @ Sat-23-Oct-2010 01:37:35a
Thu |Fri |    176|23-10-2014|    5|   1 |     11|No  |. *  0|2010 2056|--- New Moon * ---- @ Thu-23-Oct-2014 09:57:47p
Wed |Fri |    176|23-10-2019|    0|   1 |      5|No  |LQ  24|2010 2056|--- Last -- Event:- 8th Sign Scorpio Oct23 Nov21 Water Sign Ruled by Pluto: The Scorpion ---- @ Wed-23-Oct-2019
Fri |Fri |    176|23-10-2020|   -1|   0*|      6|Yes |. *  6|2010 2056|--- Next -- Event:- 8th Sign Scorpio Oct23 Nov21 Water Sign Ruled by Pluto: The Scorpion ---- @ Fri-23-Oct-2020
Thu |Sat |    177|24-10-2019|    0|   1 |      5|No  |LQ  25|2018 2037|--- Event:- United Nations Day ---- @ Thu-24-Oct-2019
Thu |Sat |    177|24-10-2019|    0|   1 |      5|No  |LQ  25|2018 2037|--- Last -- Event:- United Nations Day ---- @ Thu-24-Oct-2019
Sat |Sat |    177|24-10-2020|   -1|   0*|      6|Yes |.    7|2018 2037|--- Event:- United Nations Day ---- @ Sat-24-Oct-2020
Sat |Sat |    177|24-10-2020|   -1|   0*|      6|Yes |.    7|2018 2037|--- Next -- Event:- United Nations Day ---- @ Sat-24-Oct-2020
Mon |Sun |    178|25-10-2004|   15|   2 |     17|Yes |FQ  10|1988 2045|Grandmas Cat Joey Died
Thu |Mon |    179|26-10-1995|   24|   4 |     28|No  |.    1|2007 2026|Started taking numbers in Caller ID
Tue |Mon |    179|26-10-2004|   15|   2 |     17|Yes |FQ  11|2007 2026|Rachel Robinson link worker 4 of 4 3.30pm
Fri |Mon |    179|26-10-2007|   12|   3 |     22|No  |O * 14|2007 2026|--- Full Moon * ---- @ Fri-26-Oct-2007 04:52:38a
Wed |Mon |    179|26-10-2011|    8|   2 |     11|No  |. *  0|2007 2026|--- New Moon * ---- @ Wed-26-Oct-2011 07:56:53p
Mon |Mon |    179|26-10-2020|   -1|   0*|      6|Yes |FQ   9|2007 2026|--- Next -- Armistice Day Forerunner for Veterans Day ---- @ Mon-26-Oct-2020
Tue |Wed |    181|28-10-1986|   33|   5 |     39|No  |LQ  24|2004 2023|Drivers Licence Valid From 28-10-1986 to 19-11-2038
Mon |Wed |    181|28-10-2002|   17|   3 |     22|No  |O   21|2004 2023|Karen Dillon 44th of 62 earlier appointment than what next one 11am hospital
Tue |Wed |    181|28-10-2008|   11|   2 |     17|Yes |. *  0|2004 2023|--- New Moon * ---- @ Tue-28-Oct-2008 11:15:03p
Mon |Wed |    181|28-10-2019|    0|   1 |      5|No  |. *  0|2004 2023|--- Last -- Armistice Day Forerunner for Veterans Day ---- @ Mon-28-Oct-2019
Mon |Wed |    181|28-10-2019|    0|   1 |      5|No  |. *  0|2004 2023|--- Last -- Event:- St Simon and St Jude ---- @ Mon-28-Oct-2019
Wed |Wed |    181|28-10-2020|   -1|   0*|      6|Yes |FQ  11|2004 2023|--- Next -- Event:- St Simon and St Jude ---- @ Wed-28-Oct-2020
Wed |Thu |    182|29-10-2003|   16|   3 |     22|No  |.    3|2012 2099|Karen Dillon 55th of 62 3pm home
Mon |Thu |    182|29-10-2012|    7|   2 |     17|Yes |O * 14|2012 2099|--- Full Moon * ---- @ Mon-29-Oct-2012 07:50:38p
Tue |Thu |    182|29-10-2019|    0|   1 |      5|No  |.    0|2012 2099|--- Last -- Event:- Internet First Created - 1969 ---- @ Tue-29-Oct-2019
Thu |Thu |    182|29-10-2020|   -1|   0*|      6|Yes |FQ  12|2012 2099|--- Next -- Event:- Internet First Created - 1969 ---- @ Thu-29-Oct-2020
Wed |Fri |    183|30-10-1968|   51|   8 |     56|Yes |FQ   8|1993 2031|Birthday Julie Johnson
Mon |Fri |    183|30-10-2006|   13|   2 |     17|No  |FQ   7|1993 2031|I Buy my Copy Windows XP Professional--Cost £92.75
Sat |Sat |    184|31-10-1925|   94|  14*|    101|No  |O * 13|1974*2039|--- Calendar Blue Moon ---- @ Sat-31-Oct-1925 05:16:48p --- 2nd Full Moon in Month
Tue |Sat |    184|31-10-1944|   75|  11 |     79|Yes |O * 14|1974*2039|--- Calendar Blue Moon ---- @ Tue-31-Oct-1944 01:35:44p --- 2nd Full Moon in Month
Mon |Sat |    184|31-10-1955|   64|  10 |     67|No  |O * 15|1974*2039|--- Calendar Blue Moon ---- @ Mon-31-Oct-1955 06:04:18a --- 2nd Full Moon in Month
Thu |Sat |    184|31-10-1974|   45|   7 |     50|No  |O * 15|1974*2039|--- Calendar Blue Moon ---- @ Thu-31-Oct-1974 01:19:40a --- 2nd Full Moon in Month
Thu |Sat |    184|31-10-2019|    0|   1 |      5|No  |.    2|1974*2039|--- Last -- Event:- Clocks Rewind 1 Hours GMT - A Chunk Of Time DisAppears -- OverLapp ---- @ Thu-31-Oct-2019
Thu |Sat |    184|31-10-2019|    0|   1 |      5|No  |.    2|1974*2039|--- Last -- Event:- Halloween ---- @ Thu-31-Oct-2019
Thu |Sat |    184|31-10-2019|    0|   1 |      5|No  |.    2|1974*2039|--- Last -- Event:- Hallowwe'en ---- @ Thu-31-Oct-2019
Sat |Sat |    184|31-10-2020|   -1|   0*|      6|Yes |O * 14|1974*2039|--- Next -- Calendar Blue Moon ---- @ Sat-31-Oct-2020 02:50:25p --- 2nd Full Moon in Month
Sat |Sat |    184|31-10-2020|   -1|   0*|      6|Yes |O * 14|1974*2039|--- Next -- Event:- Clocks Rewind 1 Hours GMT - A Chunk Of Time DisAppears -- OverLapp ---- @ Sat-31-Oct-2020
Sat |Sat |    184|31-10-2020|   -1|   0*|      6|Yes |O * 14|1974*2039|--- Next -- Event:- Halloween ---- @ Sat-31-Oct-2020
Sat |Sat |    184|31-10-2020|   -1|   0*|      6|Yes |O * 14|1974*2039|--- Next -- Event:- Hallowwe'en ---- @ Sat-31-Oct-2020
Fri |Sun |    185|01-11-1968|   51|   8 |     56|Yes |FQ  10|2001 2085|Birthday Sylvi Marriott
Fri |Sun |    185|01-11-2019|    0|   1 |      5|No  |.    3|2001 2085|--- Last -- Event:- All Saints' Day ---- @ Fri-01-Nov-2019
Sun |Sun |    185|01-11-2020|   -1|   0*|      6|Yes |O   15|2001 2085|--- Next -- Event:- All Saints' Day ---- @ Sun-01-Nov-2020
Mon |Mon |    186|02-11-2009|   10|   2*|     17|No  |O * 15|2009 2028|--- Full Moon * ---- @ Mon-02-Nov-2009 07:14:57p
Tue |Tue |    187|03-11-1998|   21|   3*|     28|No  |FQ  13|1960 2074|Off mill view section regency ward
Mon |Tue |    187|03-11-2003|   16|   3 |     22|No  |FQ   8|1960 2074|Rachel Robinson link worker 2 of 4 4pm
Wed |Tue |    187|03-11-2004|   15|   2 |     17|Yes |O   19|1960 2074|Grandmas Cat whiskey Died
Sun |Tue |    187|03-11-2013|    6|   2 |     11|No  |. *  0|1960 2074|--- New Moon * ---- @ Sun-03-Nov-2013 12:51:06p
Tue |Thu |    189|05-11-1946|   73|  11 |     78|No  |FQ  11|2006 2025|Dan Damers
Mon |Thu |    189|05-11-2018|    1|   1 |     11|No  |LQ  26|2006 2025|--- Event:- Remember Remember 5th November Guy Fawkes FireWorks Night ---- @ Mon-05-Nov-2018
Tue |Thu |    189|05-11-2019|    0|   1 |      5|No  |FQ   7|2006 2025|--- Last -- Event:- Birthday Damo YEAR %%% ---- @ Tue-05-Nov-2019
Tue |Thu |    189|05-11-2019|    0|   1 |      5|No  |FQ   7|2006 2025|--- Last -- Event:- Bonfire Night ---- @ Tue-05-Nov-2019
